ID_Usuario,ID_Rol,DNI,Nombre_Completo,Correo,PasswordHash,Estado,Fecha_Creacion,Email,Telefono
44,3,62090537,Leticia Guitart Antúnez,juanprat@example.net,$2b$12$GK9Rb9Lz05QqHon5R.utsu.eDk9PYN8WZ/rYHD0BT9rq/RbEzwyc6,1,2026-09-05 14:20:15.997,NULL,NULL
45,3,68917250,Hernán Guadalupe Tejera Merino,bernardita41@example.org,$2b$12$GK9Rb9Lz05QqHon5R.utsu.eDk9PYN8WZ/rYHD0BT9rq/RbEzwyc6,1,2026-09-05 14:20:16.000,NULL,NULL
46,3,17513859,Santos Martin,fblanca@example.com,$2b$12$GK9Rb9Lz05QqHon5R.utsu.eDk9PYN8WZ/rYHD0BT9rq/RbEzwyc6,1,2026-09-05 14:20:16.007,NULL,NULL
47,3,30009683,Manuel Múgica Coloma,carmina89@example.net,$2b$12$GK9Rb9Lz05QqHon5R.utsu.eDk9PYN8WZ/rYHD0BT9rq/RbEzwyc6,1,2026-09-05 14:20:16.007,NULL,NULL
48,3,65009499,Bibiana Maldonado Montalbán,heracliocasals@example.net,$2b$12$GK9Rb9Lz05QqHon5R.utsu.eDk9PYN8WZ/rYHD0BT9rq/RbEzwyc6,1,2026-09-05 14:20:16.010,NULL,NULL
49,3,14784361,Prudencia Ayllón Pinilla,scastrillo@example.com,$2b$12$GK9Rb9Lz05QqHon5R.utsu.eDk9PYN8WZ/rYHD0BT9rq/RbEzwyc6,1,2026-09-05 14:20:16.013,NULL,NULL
50,3,36323261,Josefa Rico Valero,paparicio@example.com,$2b$12$GK9Rb9Lz05QqHon5R.utsu.eDk9PYN8WZ/rYHD0BT9rq/RbEzwyc6,1,2026-09-05 14:20:16.017,NULL,NULL
51,3,23923295,Alfredo de Morán,vigilviviana@example.net,$2b$12$GK9Rb9Lz05QqHon5R.utsu.eDk9PYN8WZ/rYHD0BT9rq/RbEzwyc6,1,2026-09-05 14:20:16.020,NULL,NULL
52,3,60450328,Ignacio Velázquez Vergara,herbertobelmonte@example.com,$2b$12$GK9Rb9Lz05QqHon5R.utsu.eDk9PYN8WZ/rYHD0BT9rq/RbEzwyc6,1,2026-09-05 14:20:16.023,NULL,NULL
53,3,61885346,Nidia Abigaíl Pallarès Tamarit,amormatilde@example.net,$2b$12$GK9Rb9Lz05QqHon5R.utsu.eDk9PYN8WZ/rYHD0BT9rq/RbEzwyc6,1,2026-09-05 14:20:16.030,NULL,NULL
54,3,4332324,asdadffa,asdsdasd@examples.com,$2b$12$Quhd2SNa8DOcAmrY8YglI.P2EoJM69U/18oLi7CQZHojXP3B4i6Cy,1,2026-09-12 22:21:09.023,NULL,NULL
